"tic","invest"
"SUMR",1097.19
"SUMXF",1100.03
"SUNW",1098.29
"SVAUF",1096.02
"SVBL",1094.93
"SVBRF",1094.35
"SWNLF",1094.03
"SXE",1089.63
"SYN",1098.46
"SZSMF",1094.74
"TAST",1103
"TCAP",1100.75
"TCPC",1094.52
"TDBSF",1092.56
"TDC",1124.8
"TEAR",1095.17
"TEL",1120.51
"TETZF",1092.94
"TEXC",1094.98
"TFCCF",1095.48
"TFSL",1092.88
"TGH",1094.05
"TGLS",1100.49
"TGP",1113.77
"THS",1001.28
"THTI",1095.5
"TIGCF",1094.42
"TIPT",1096.27
"TIRXD",1095.19
"TIS",1034.3
"TITN",1074.8
"TLOFF",1094.88
"TLP",1068.22
"TMIAF",1094.49
"TMPHF",1093.07
"TMQ",1094.52
"TNK",1096.05
"TNSGF",1095.02
"TOGOF",1095.08
"TOO",1097.12
"TOPS",1104.69
"TPCS",1095
"TPNEF",1094.84
"TRAGF",1093.7
"TREVF",1096.02
"TRIL",1148.12
"TROX",1117.08
"TRTC",1094.84
"TRXD",1094.03
"TSRO",927.23
"TSSI",1094.88
"TTGT",1090.4
"TURV",1096.25
"TWER",1101.36
"TX",1081.38
"TXSO",1095.14
"TYPE",1085.07
"UAA",1264.97
"UBNK",1086.06
"UCBA",1092.26
"UEC",1096.06
"UEEC",1095.06
"UFS",1113.78
"UIHC",1108.96
"ULH",1101.94
"ULTA",1194.73
"UNG",1083.77
"URCFF",1095.03
"URG",1094.16
"URGYF",1094.83
"USAC",1100.26
"USO",1082.92
"USRM",1095.34
"UURAF",1094.63
"UWEFF",1095
"VDMRF",1094.8
"VDO.",1095.01
"VELXF",1095.4
"VG",1090.02
"VGMIF",1094.9
"VGMTF",1094.94
"VIAB",1083.32
"VIPS",1119.58
"VMW",1115.88
"VNDA",1104.05
"VNRSQ",1093.68
"VNWTF",1093.95
"VPRB",1096.74
"VQSLF",1094.98
"VR",1077.42
"VRTU",1106.37
"VSI",1085.76
"VSPC",1094.98
"VSUL",1099.25
